Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
3_20_1_175_4.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,2_60_0.75_125_4.csv,0.20334747491261507,0.065738840521175,Yes,2_40_1.75_125_12.csv,0.28572811810172855,0.012865827047918488,Yes,,
3_20_1_175_6.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,2_40_2_225_4.csv,0.20322927790411843,0.13685628945169492,Yes,2_40_1.75_125_10.csv,0.2857280857889327,0.01286582844499734,Yes,,
3_20_1_175_8.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,2_20_1_75_4.csv,0.2031164448854213,0.17038347840277765,Yes,2_40_1.75_125_14.csv,0.2857280523988141,0.01286580541156113,Yes,,
2_120_1.25_225_8.csv,0.26489353125,-0.09927714187295793,No,,,,,,,,,,,2_60_0.75_150_14.csv,0.20108462371875613,0.16181659231410844,Yes,2_40_1.75_125_16.csv,0.2857280523988141,0.01286580541156113,Yes,,
2_40_1_100_10.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_16.csv,0.20108462371875613,0.16181659231410844,Yes,2_40_1.75_125_18.csv,0.2857280523988141,0.01286580541156113,Yes,,
2_40_1_100_12.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_18.csv,0.20108462371875613,0.16181659231410844,Yes,2_40_1.75_125_20.csv,0.2857280523988141,0.01286580541156113,Yes,,
2_40_1_100_14.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_20.csv,0.20108462371875613,0.16181659231410844,Yes,2_60_1.75_150_8.csv,0.28540830318266314,-0.004801908038373995,No,,
2_40_1_100_16.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_8.csv,0.20108460975793102,0.16181665702071218,Yes,2_60_1.75_200_8.csv,0.2854082962187926,-0.004801907687910832,No,,
2_40_1_100_18.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_10.csv,0.20108460340335887,0.16181663690120224,Yes,2_60_1.75_175_8.csv,0.2854082846252599,-0.004801901365255513,No,,
2_40_1_100_20.csv,0.26456071875,-0.0648053305044004,No,,,,,,,,,,,2_60_0.75_150_12.csv,0.20108460340335887,0.16181663690120224,Yes,2_20_1_75_10.csv,0.28439373389839134,0.04159783099558983,Yes,,
