Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
,,,,,1_120_1_50_20.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_10.csv,0.10081571610315043,0.031589584825652314,No,,,,,,,,,,,,3_100_1_75_18.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_8.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_4.csv,0.2373926489627321,-0.0390300391270372,No,,2_60_1_125_6.csv,0.10067093097868839,-0.034816040463865126,No,,,,,,,,,,,,3_100_1_75_20.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_200_10.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_50_6.csv,0.2373926489627321,-0.0390300391270372,No,,2_60_1_150_6.csv,0.10067089481200181,-0.01280744341939248,No,,,,,,,,,,,,3_100_1_75_4.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_200_12.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_50_8.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_0.75_50_4.csv,0.10061328908139258,0.04642718333463051,No,,,,,,,,,,,,3_100_1_75_6.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_200_14.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_10.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1.25_175_6.csv,0.10050750122839598,0.020892705551445335,No,,,,,,,,,,,,3_100_1_75_8.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_200_16.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_12.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,1_100_0.75_125_10.csv,0.2472331834876943,0.18040721438379492,Yes,,2_20_0.75_200_18.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_14.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,1_100_0.75_125_12.csv,0.2472331834876943,0.18040721438379492,Yes,,2_20_0.75_200_20.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_16.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,1_100_0.75_125_14.csv,0.2472331834876943,0.18040721438379492,Yes,,2_20_0.75_200_6.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_18.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,1_100_0.75_125_16.csv,0.2472331834876943,0.18040721438379492,Yes,,2_20_0.75_200_8.csv,0.1823707914788934,-0.031096558893938447,No,,,,,,,,
,,,,,1_120_1_75_20.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,1_100_0.75_125_18.csv,0.2472331834876943,0.18040721438379492,Yes,,2_20_0.75_225_10.csv,0.18237075447662246,-0.028671662398824207,No,,,,,,,,
